intent,language,question,answer
greeting,en,Hi,"Hello! I'm your campus assistant. Ask me about fees admissions or timetables."
greeting,en,Hello,"Hi there! How can I help you today? I can answer questions about campus life."
greeting,en,Hey,"Hey! What would you like to know about our campus?"
greeting,hi,हैलो,"नमस्ते! मैं आपका कैंपस असिस्टेंट हूं। फीस प्रवेश या समय सारिणी के बारे में पूछें।"
greeting,hi,नमस्ते,"हैलो! आज मैं आपकी कैसे सहायता कर सकता हूं?"
greeting,hi,हाय,"हाय! आप कैंपस के बारे में क्या जानना चाहते हैं?"
fees,en,What are the tuition fees?,"Annual tuition fees are ₹50000 payable in two installments."
fees,en,How much does it cost to study here?,"The total annual fee is ₹50000 which can be paid in two parts."
fees,en,What's the cost of education?,"Education costs ₹50000 per year with flexible payment options."
fees,en,Can you tell me about the fees?,"Our fee structure is ₹50000 annually split into two installments."
fees,en,How expensive is this college?,"The college fee is ₹50000 per year which is quite reasonable."
fees,en,What's the price for admission?,"Admission requires payment of ₹50000 annual tuition fee."
fees,hi,शुल्क कितना है?,"वार्षिक ट्यूशन शुल्क ₹50000 है जिसे दो किस्तों में जमा किया जा सकता है।"
fees,hi,फीस कितनी है?,"कुल वार्षिक फीस ₹50000 है जो दो भागों में दी जा सकती है।"
fees,hi,पढ़ाई का खर्च क्या है?,"शिक्षा की लागत ₹50000 प्रति वर्ष है।"
fees,hi,कॉलेज कितना महंगा है?,"कॉलेज की फीस ₹50000 प्रति वर्ष है।"
admissions,en,How do I apply for admission?,"You can apply online via the admissions portal. Submit forms and pay the application fee."
admissions,en,What's the admission process?,"Complete the online application form and submit required documents with fees."
admissions,en,How can I get admission here?,"Visit our admissions portal online to start your application process."
admissions,en,How to join this college?,"Apply through our online portal by filling the admission form."
admissions,en,What are admission requirements?,"Fill online forms submit documents and pay application fees."
admissions,hi,प्रवेश के लिए आवेदन कैसे करें?,"आप ऑनलाइन पोर्टल पर आवेदन कर सकते हैं। फॉर्म जमा करें और आवेदन शुल्क भुगतान करें।"
admissions,hi,एडमिशन कैसे लें?,"ऑनलाइन एडमिशन पोर्टल पर जाकर फॉर्म भरें।"
admissions,hi,दाखिला कैसे मिलेगा?,"ऑनलाइन आवेदन फॉर्म भरकर दस्तावेज जमा करें।"
admissions,hi,कॉलेज में कैसे आएं?,"हमारे ऑनलाइन पोर्टल से आवेदन करें।"
timetable,en,Where can I see my timetable?,"Your timetable is available in the student portal under Academics section."
timetable,en,How to check class schedule?,"Login to student portal and go to Academics section for your timetable."
timetable,en,Where is my class timing?,"Check the student portal under Academics section for class timings."
timetable,en,When are my classes?,"Your class schedule is available in the student portal."
timetable,en,What's my schedule?,"Access your timetable through the student portal Academics section."
timetable,hi,मेरा समय सारिणी कहाँ देखूँ?,"आपका समय सारिणी छात्र पोर्टल में Academics अनुभाग में उपलब्ध है।"
timetable,hi,क्लास टाइम कैसे देखें?,"स्टूडेंट पोर्टल में लॉगिन करके Academics सेक्शन में जाएं।"
timetable,hi,मेरे क्लास कब हैं?,"आपका क्लास शेड्यूल स्टूडेंट पोर्टल में उपलब्ध है।"
timetable,hi,समय सारिणी कहाँ है?,"स्टूडेंट पोर्टल के Academics सेक्शन में अपना टाइमटेबल देखें।"
